gene,average,median,max,min,growth_correlation
b3661,8.553700163568188,8.73943354930723,11.4509201887399,5.17609387956578,0.02818264832973829
b3662,3.7338287942615382,3.9942046104972,5.92752927368995,0.810637799132015,0.12957735328012815
b3663,4.4126913983166,4.35336491565812,6.30448998605642,3.30896223373941,-0.0421997832262172
b3664,1.8252983293788254,1.70229794444099,4.75486386433577,0.425637790200744,-0.52388172270101
b3665,4.294642103099638,4.27605867295277,6.67363509416443,2.4180391590187,-0.2710528104783393
b3666,3.240888551332872,2.52511428572815,9.938576059304,0.712415726660972,-0.2398701336080711
b3667,3.9149381978410633,3.90543491325477,6.88547712424763,2.39564400829198,-0.2276416556041879
b3668,4.703639252290609,4.75847048138212,7.69085796246576,2.64472739880768,-0.09294524280513393
b3669,6.84170233167324,6.96736621617369,9.16962371897394,4.68328908621497,-0.3251796778056045
b3670,7.171688930061422,7.29793109240846,9.46570238935724,3.52676801374239,-0.2675311386444406
b3671,8.400303893448124,8.46092137162859,10.3656634263736,5.48168560936905,-0.17996925462687266
b3672,1.2358551717449384,0.0,6.44076927013003,0.0,-0.2523267929968454
b3673,1.4568501041685615,1.19655653983718,7.43276509756282,0.0,0.022349646602739352
b3674,4.374978168995276,4.11394645436698,9.27141330747496,0.0,-0.20290880825459526
b3675,3.185362383787069,3.19813721462132,5.51207468240806,0.0,-0.17987535883406633
b3676,3.9583593636795964,3.97082550596447,6.02706259999177,2.25526413072035,-0.3807729423908952
b3677,4.38667661994385,4.47989880782308,5.7396316215767,2.50941588937954,-0.07859077857894319
b3678,2.5934755335868633,2.55844294979477,5.07052207670029,1.65383149777491,-0.3017625307626198
b3679,1.7757718861794365,1.74221513388859,4.70734343558021,0.712529292952887,-0.19288514257068412
b3680,3.292333512018439,3.41678094727634,5.58926643549009,0.0,-0.538442525829911
b3683,1.3172753175758605,1.22313897414316,3.04814166771566,0.0,-0.30793646894146914
b3684,2.169344958949361,2.19976781657565,3.50237233718805,0.0,-0.12631251905615923
b3685,5.986877274854479,6.00859569482212,7.94992469443646,4.40497580778115,0.0861012827961353
b3686,4.706048555835156,4.6451786122764,8.02175920098004,1.68558624520767,-0.1441369972017106
b3687,7.096422815096609,7.11646559887029,9.1769173379108,4.62450535468013,-0.22496620511286522
b3688,6.976645075374365,6.83599848348304,10.6098619243635,4.57838788833175,-0.6320763377822918
b3689,5.520280647017802,5.47865937539041,7.53416607298805,4.37119746281619,0.3201174194452899
b3690,2.727479998523518,2.63097065415757,5.21566113298174,0.86349978864735,-0.3404939656915938
b3691,2.6820557472666886,2.65172711586737,6.23885013606947,1.0624374938144,-0.3722272660381957
b3693,3.735025175514575,3.67363726454885,6.51263776952382,1.99001331775693,-0.4804357916073006
b3696,4.49362894773082,4.59568343738259,6.60788924691157,2.40317468240596,-0.3912324700265989
b3697,7.377108860926548,7.52272627979024,8.55343012436568,5.57822796071946,0.4475456023567386
b3698,5.784249608268125,5.84119609720416,7.30258947569034,4.10226546770942,-0.38653304355700535
b3699,8.198661802969308,8.18260254031982,9.3454701657959,7.29787142845334,0.5614087412259613
b3700,5.591080310167718,5.65054777443445,7.11875399685603,3.69725301778258,0.14563121543538257
b3701,7.765805360663435,7.75548732415283,8.54045566144858,7.02923174973993,0.06753773679611765
b3702,8.16365147169721,8.17089474891344,8.96045011759475,7.11287887024223,0.042535953348610434
b3703,5.074497996090262,4.84204467234786,9.15266687876055,0.0,-0.1658717206638455
b3704,7.656109674388646,7.82995807482588,9.41165082513002,4.65938864441095,-0.0891743413977368
b3705,9.274822043485692,9.45894399200073,10.4503810204764,7.61129576672123,0.1629428175313151
b3706,6.928154930493127,6.91788515165791,8.20300547378046,5.78359874570095,0.2282769012147792
b3708,4.862722901866412,3.59825896194752,14.615136470549,1.11057301314684,-0.3496331561914151
b3709,2.6772708615087883,1.58075755760337,9.6261919776515,0.0,-0.44814595121247836
b3710,2.816786237964086,2.89922834406204,4.50249006317412,0.979800671105187,0.04429678926555977
b3711,4.620318979547259,4.67146323033055,5.90898158926769,3.08056013736146,0.04798654616065507
b3712,5.410473164814639,5.43017430100058,7.4741342256093,4.255140277681,0.205275909599171
b3713,7.053635551098681,7.02272703072166,8.56896426476253,5.52320583989158,-0.1504824980637124
b3714,7.7655746914959,8.08101889808925,9.44458348088562,4.91773441376467,-0.12351122138190833
b3715,5.617135763254995,5.68247667158271,6.72747442571908,3.65962638490998,-0.2579757927172428
b3716,3.459080242612568,3.49906963942801,6.56838967922745,0.0,-0.27042336090434094
