Gene	42C glucose	Acetate	Fructose	Fumarate	Galactose 	Glucosamine	Glucose	Glycerol	Glycerol + AA	LB	Mannose	Osmotic-stress glucose	Pyruvate	Succinate	Xylose	Chemostat u=0.12	Chemostat u=0.20	Chemostat u=0.35	Chemostat u=0.5	pH6 glucose
glgX	1.21402201651811	1.464471970680068	1.0893107551037582	1.2691268807394416	1.39861316776275	1.2411573685514345	1.3423292197225678	1.3107844548822483	1.283346922062488	0.9549325963816709	1.2584152757452334	1.0960627098759077	1.37490118148338	1.2426314948585389	1.234755003253624	1.3788230835515347	1.3235129191994355	1.283966695271865	1.2278830012641355	1.3706683294853899
malK	0.6376337527198699	1.3928858731943425	1.342400783483816	1.5921185579239914	1.528041878933504	1.6871053321360547	1.2383095132443749	1.4507593572174649	1.5497721196447072	1.6794808046013114	1.6916208706004963	0.6260945569396819	1.5803122445869808	1.4964546313283777	0.9349931308375733	2.0869629984376017	2.2512140365167586	2.2173352101979105	2.09868254427339	0.6532665172079499
rbsA	0.8364197779333009	0.987096373210935	0.9429085482616519	1.1534860088424415	1.1299058503649995	1.0796798040238962	0.5564425890418182	1.0631202864637845	1.1079735944907425	0.9736874953759365	1.039845627796772	0.8218877214614116	1.434941094051508	1.1868327158838772	0.7771876042872484	1.7474209508223155	1.52255125632116	1.4686561057070582	1.2990618453447398	0.517474412849347
xylF	1.155861713489807	1.6979545001436305	1.3020057467662123	1.9004115552845233	2.016506882859577	1.5879613641075943	1.2706614542155361	1.4753107127864866	1.3477146786837413	1.2471553450383106	1.7901335615915095	1.0039090724495434	1.6928559519583992	1.6783325430219622	3.1806024753170554	2.211361449779859	2.131990919996023	1.953703075746965	1.5884974747497183	0.947713503003834
cdd	1.989842980224479	1.809908388662522	1.5865052517960658	1.8089589644906001	1.7186032460836516	1.7847641715013338	1.7066954000168053	1.65879662459422	1.450849413207738	2.608886237086508	1.857681930728043	2.099998441766211	1.6494756404771937	1.721624829300818	1.8262845376952945	2.1543043713811754	2.004989527677399	1.9001177202700446	1.747164683763826	2.177312747697922
hpt	2.165662040808061	2.146073028489308	2.3573628946361707	2.2086614025237163	2.252264576018097	2.2776543973446883	2.4061881376057976	2.258532191479811	2.358476561568598	2.473492551244009	2.169431026223848	2.4174172471069184	2.255910512073126	2.3129785913610252	2.281462102775413	2.052944271634532	2.102210269956811	2.1660948932279744	2.1735770160814853	2.2356999392400545
udk	1.5955714660604015	1.5557874872683568	1.6786792734820688	1.6810740402249167	1.5672210368681954	1.5448913208268718	1.5817160744885514	1.6453882894451728	1.6757520381243336	1.7279853699515055	1.5839903852604755	1.556928696552427	1.6135066638068112	1.671158919056494	1.6491208928413978	1.5356807183927839	1.601399501469152	1.6249553430357409	1.7215726553006272	1.6465598804543122
nrdB	2.045473042393821	1.9959295881705907	1.9672138758253939	1.9614371644153885	1.9079830789871641	2.0194942204589923	1.94994958874543	1.929547313060286	2.062109849270945	1.9998813195224652	1.9361812321239014	1.9010819907006025	1.9880460753537699	1.9198685364076067	1.9313424152666323	1.9520542736657749	1.9854383272933844	1.9984259490771767	2.01215027588369	1.9282814890259699
pyrI	3.416501950747991	3.50662888922451	3.545304773473422	3.7053303703078706	3.716106374018376	3.5904799171717827	3.5779130536907404	3.6495897261550843	2.539123232716402	2.562825270377927	3.53039234008276	3.6641193483125063	3.4587726569432347	3.7308484140672133	3.529934632264492	3.3363632499197187	3.38344843402408	3.5378416931125054	3.671726411386357	3.5847618700394994
argI	1.8496821548331441	1.946504216382964	1.953837426409701	1.976286208309647	1.8661194183051921	1.8671880136917551	2.203058802981341	1.9506343809890105	1.2896677023032794	0.9306096248569018	1.9052024809917816	2.0283275574310955	1.8282114704481267	1.9196545743554043	2.0336641193057177	2.29108689796186	2.1140373743803265	1.9500667207033366	2.017579274005023	1.935394512221282
metA	2.4408483974809	2.1122564056340267	2.3893061669584656	2.2117171904507407	2.344304491609342	2.2518746882616396	2.7267349860626138	2.29693510213757	1.7089193504391216	1.6482781619047202	2.3394245696076146	2.4253879097858566	2.286743204929968	2.3988575721027736	2.52633784659811	2.2086406683845836	2.237531971314615	2.2468460289181453	2.2945986624092276	2.6326730291813663
speD	2.395480176493792	2.0740896459042895	2.31119476230189	2.2910171247035094	2.11793286333158	2.327805827733341	2.547905453659621	2.252048087631582	2.305194018463416	2.4034409550380764	2.181912152023725	2.3654776184017527	2.138142311362086	2.2484915390706064	2.285393099904405	1.9192558876275603	1.9967420961490885	2.1002880944887807	2.2377795216047986	2.2774004991046803
ygiC	1.7790470432231016	1.7613157547517042	1.9116379313354595	1.9496949770831011	1.6967064724608507	1.732352950338891	1.8836708492278744	1.979967993218258	1.747019452997857	1.7233695167191483	1.9294498606715709	1.7104719498105156	2.0424606235632603	1.8660647758996534	1.792089020784131	1.7116134859128864	1.715674199607184	1.7166309940288875	1.6868692230698437	1.5092980671815697
gatD	1.657724624730621	2.4556188765756373	1.9016122028550206	2.331986543424731	2.2808572060724424	2.1284715743164635	1.4057250783654738	2.125769204285397	1.9661105105013976	2.169679658417315	2.219400821461718	1.4508368644938907	2.1646125217612124	2.3159315548363044	1.8570046069579416	2.617114802292859	2.5483342648161673	2.5220578272127607	2.2355870680964944	1.2800341407926026
ilvH	2.4357133374086626	2.375206233036582	2.5740266891745223	2.34112953491353	2.5318242528799955	2.4959200935226558	2.4829284437507693	2.4302227621053545	1.8104847782183944	1.7225769539967233	2.548387531570256	2.424822951109143	2.5048719655298775	2.499793295342806	2.56885842579101	2.3635523358347537	2.384092688111671	2.333212876957568	2.37616840689488	2.463670716711054
livG	1.5823468184177156	1.6489269370557522	1.8429974923796888	1.8246424276481956	1.8353347296366438	1.8776841943120706	1.6043370984599712	1.8190488946508772	1.158548780241561	1.314172920379952	1.7420874812140774	1.5212461401187038	1.757588994189579	1.9084741665106828	1.7046683015884936	1.994238269265622	1.9916237312855543	2.0380887681453657	2.014477414253112	1.4781673143307663
