Gene	NH4_0.05_7.5_0.5	NH4_0.1_7.5_5.0	NH4_0.1_7.5_0.5	NH4_0.13_7.5_0.5	NH4_0.18_7.5_0.5	NH4_0.3_7.5_0.5	NH4_0.35_7.5_0.5	Gln_0.1_7.5_5.53	Gln_0.1_1.21_5.53	Gln_0.1_6.87_0.55	Phe_0.1_7.5_12.35	Phe_0.1_7.5_1.24	Ile_0.1_7.5_9.81	Ile_0.1_7.5_0.98
ALG12	-8.706719078103355	-8.6186090739749	-8.737015966427785	-8.81057046720176	-8.69167170588097	-8.816138462625752	-8.832452027610005	-8.601095549308456	-8.892279774087228	-8.839395467516512	-7.913366230873166	-8.131101243977085	-8.10537702221731	-8.630605160914063
ARC35	-8.107969791171113	-7.96705045719141	-8.011837445419339	-7.908380493043164	-7.819261582882825	-7.859025661510825	-7.9401689901704104	-7.902979555932146	-7.891640123307909	-8.082533804117404	-7.980750929707128	-8.052498695664148	-8.036953197692018	-8.029738001143249
MRPS12	-7.435574043860213	-7.435372419530604	-7.569573645105618	-7.557709442058278	-7.480921093381329	-7.3989145737293365	-7.421040761894446	-7.354710020601801	-7.564971101575719	-7.633071122947444	-7.165700275623756	-7.4770766775608735	-7.539936760260321	-7.650932878559799
RSM19	-8.249539752875156	-7.983648262965514	-8.203872696153113	-8.159421314480811	-8.087889047172274	-7.9497091412213665	-7.8490172831283145	-7.942229765717613	-7.993530150229463	-8.186815928704362	-7.888359520270815	-8.063445679094842	-7.9773216624625265	-8.29888113202186
DBP6	-9.723336881294122	-9.375701765438032	-9.309839314397783	-9.332291268705625	-9.329600241330589	-9.19174007772916	-9.171194139279336	-9.31103275387948	-9.340548530875045	-9.38636399080828	-9.323085632242872	-9.352702612444658	-9.215455328887087	-9.392567073685337
ZRG17	-9.186098485812792	-9.386959054234254	-9.255856003722023	-9.40613292422317	-9.526192662013726	-9.729633048876595	-9.748159577069023	-9.461824095412076	-9.459375955522598	-9.279474172399592	-9.714784300571992	-9.451027002487526	-9.453254243109923	-9.38619594103015
TRM112	-8.028512346188913	-7.972862510591767	-7.989136510207241	-7.973473982191543	-7.944287684401167	-7.892926610279139	-7.756594001709412	-7.905187993877057	-7.87327348953486	-7.910036590809887	-7.892271469139822	-8.035841264122938	-7.942780622140854	-8.121072024223487
FPK1	-9.859722614864426	-9.987644929680963	-9.960429470721087	-9.980512643070178	-9.997658187461603	-10.138136258753045	-10.199607907097906	-9.98004686400442	-9.885244721448425	-9.869985485684689	-9.997798198578009	-9.982807304836227	-9.906718889644429	-10.051022169860252
YNR048W	-9.251424165959314	-9.307477174078663	-9.051656201099481	-9.078024534843726	-9.114682814679096	-9.298828313575774	-9.342029041985706	-9.367303054753402	-9.476276797125811	-9.12314862090585	-9.377248932110277	-9.146840161199481	-9.256474522916763	-9.232284296813427
BRE5	-8.345331589641198	-8.132313946828672	-8.086518741131146	-8.036444146134635	-7.9333907168341256	-7.872914600039384	-7.7453937866561136	-8.14741778360386	-8.282669827003234	-8.150299039770509	-8.294883029611528	-8.246889882315866	-8.092081407090625	-8.171089063866061
DUS1	-9.381974111518476	-8.840452143187553	-8.909347822392123	-8.84996883560869	-8.804823484526585	-8.681949060325472	-8.644156152933286	-8.881464447935633	-8.958280846271647	-9.011296802287012	-8.986899899333714	-8.931507438930538	-8.865918455931181	-8.992909460929601
CAF40	-8.096528935805663	-8.318080803299098	-8.111494568818406	-8.160660220670245	-8.272913194457576	-8.30131405633002	-8.287844794260865	-8.311055233953168	-8.219371181861938	-8.097133593944742	-8.351823049837973	-8.15575725088764	-8.215244958619142	-8.147191907658163
CUS2	-8.379379709069141	-8.470524630460522	-8.448508050422936	-8.519395401965806	-8.561854486782265	-8.739782214198167	-8.799745336813382	-8.470140636759364	-8.294649157834478	-8.465491925225209	-8.487590773434485	-8.402466466554126	-8.3572680018536	-8.463767082477128
HCH1	-7.125468736718221	-7.267482691303044	-7.345253853054346	-7.505629638881217	-7.538932133430848	-7.258592130315141	-7.121755807424762	-7.159105639120743	-6.9100639569279	-7.338563037414843	-7.517120313645819	-7.590329906044503	-7.148819225812578	-7.225204315884575
CAF120	-9.967904734572388	-10.09332532636264	-9.792024259799764	-9.8240479148411	-9.90306126734614	-9.822370932764727	-9.861229086462954	-10.162820057231455	-10.10579893607681	-9.697671145099218	-9.814490837473098	-9.76196027487277	-9.90873266507319	-9.944432187070342
GOR1	-7.636669753439217	-8.112304607906657	-7.965179619918647	-8.282875933662764	-8.56407817636435	-8.91504049692246	-9.062232857916188	-8.381989290532134	-8.594841870626562	-7.9614786633166545	-8.502865406284897	-8.164652938183737	-8.43265621530218	-8.049836254451828
IST1	-8.320430776230952	-8.457682701082868	-8.265139557300666	-8.328128264470047	-8.358183751663638	-8.48103588300772	-8.628040925601303	-8.457060093266875	-8.42536859342624	-8.329877652503717	-8.499397170091	-8.293036519528885	-8.39587057166944	-8.32966194476141
PDR17	-9.249522431700385	-9.407071988306024	-9.319165378874628	-9.424320949497327	-9.495200108903353	-9.631719969025049	-9.567714448024708	-9.406575179272147	-9.5621921608069	-9.406879862261972	-9.46234634812768	-9.32749600318035	-9.345649601588265	-9.377216892409232
YIF1	-8.396136808025906	-8.240845464279827	-8.140357230447293	-8.111411009931118	-8.100845885944041	-8.161325648596202	-8.186571764990815	-8.197580652357987	-8.190540596434731	-8.127369721246314	-8.170746804764441	-8.11847387880946	-8.113347880881575	-8.17523334380517
YNL260C	-8.870522412018266	-9.007414171093174	-8.888944276574449	-8.946331284347051	-9.044155826438592	-9.27849482348592	-9.305559089844444	-8.933778981908453	-8.814146799922653	-8.904287579055081	-9.068121698498476	-8.863380264982377	-8.795217633739155	-8.81128528209671
